PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
B E Morrow Gas Plant MI USA,36,United States of America,Michigan,GAS,Environmentally Responsible,42.2505,-85.5337,"42.2505, -85.5337",,,,POWERPLANTS
Claude Vandyke Gas Plant MI USA,51.3,United States of America,Michigan,GAS,Environmentally Responsible,42.5938,-85.908,"42.5938, -85.908",,,,POWERPLANTS
Conners Creek Gas Plant MI USA,275.4,United States of America,Michigan,GAS,Environmentally Responsible,42.3597,-82.9611,"42.3597, -82.9611",,,,POWERPLANTS
Gaylord Gas Plant MI USA,70.2,United States of America,Michigan,GAS,Environmentally Responsible,45.0242,-84.6019,"45.0242, -84.6019",,,,POWERPLANTS
Livingston Generating Station Gas Plant MI USA,170.1,United States of America,Michigan,GAS,Environmentally Responsible,45.0214,-84.5988,"45.0214, -84.5988",,,,POWERPLANTS
Marshall Gas Plant MI USA,11.8,United States of America,Michigan,GAS,Environmentally Responsible,42.25,-85.0123,"42.25, -85.0123",,,,POWERPLANTS
Rawsonville Plant Visteon Corp Gas Plant MI USA,4.5,United States of America,Michigan,GAS,Environmentally Responsible,42.2578,-83.8426,"42.2578, -83.8426",,,,POWERPLANTS
Renaissance Power LLC Gas Plant MI USA,680,United States of America,Michigan,GAS,Environmentally Responsible,43.1853,-84.8458,"43.1853, -84.8458",,,,POWERPLANTS
Vestaburg Gas Plant MI USA,31.4,United States of America,Michigan,GAS,Environmentally Responsible,43.3157,-85.1539,"43.3157, -85.1539",,,,POWERPLANTS
Water Street Station Gas Plant MI USA,12.6,United States of America,Michigan,GAS,Environmentally Responsible,43.7116,-83.9949,"43.7116, -83.9949",,,,POWERPLANTS
Cascade Creek Gas Plant MN USA,84.9,United States of America,Minnesota,GAS,Environmentally Responsible,44.0322,-92.4908,"44.0322, -92.4908",,,,POWERPLANTS
New Prague Gas Plant MN USA,18.3,United States of America,Minnesota,GAS,Environmentally Responsible,44.3729,-93.7349,"44.3729, -93.7349",,,,POWERPLANTS
Redwood Falls Gas Plant MN USA,8.5,United States of America,Minnesota,GAS,Environmentally Responsible,44.4053,-95.2535,"44.4053, -95.2535",,,,POWERPLANTS
Saint Marys Hospital Power Plant Gas Plant MN USA,12.9,United States of America,Minnesota,GAS,Environmentally Responsible,44.0035,-92.4056,"44.0035, -92.4056",,,,POWERPLANTS
Batesville Generation Facility Gas Plant MS USA,891,United States of America,Mississippi,GAS,Environmentally Responsible,34.3358,-89.9236,"34.3358, -89.9236",,,,POWERPLANTS
District 70 Transco Gas Pipe Line Gas Plant MS USA,1.6,United States of America,Mississippi,GAS,Environmentally Responsible,31.1551,-90.1029,"31.1551, -90.1029",,,,POWERPLANTS
Hinds Energy Facility Gas Plant MS USA,502,United States of America,Mississippi,GAS,Environmentally Responsible,32.3778,-90.2175,"32.3778, -90.2175",,,,POWERPLANTS
Mississippi Baptist Medical Center Gas Plant MS USA,4.2,United States of America,Mississippi,GAS,Environmentally Responsible,32.2731,-90.4387,"32.2731, -90.4387",,,,POWERPLANTS
Reliant Energy Choctaw County Gas Plant MS USA,899,United States of America,Mississippi,GAS,Environmentally Responsible,33.3667,-89.4167,"33.3667, -89.4167",,,,POWERPLANTS
Silver Creek Gas Plant MS USA,250.5,United States of America,Mississippi,GAS,Environmentally Responsible,31.5878,-89.9522,"31.5878, -89.9522",,,,POWERPLANTS
Southaven Power LLC Gas Plant MS USA,801,United States of America,Mississippi,GAS,Environmentally Responsible,34.9919,-90.0428,"34.9919, -90.0428",,,,POWERPLANTS
Carrollton Gas Plant MO USA,23.4,United States of America,Missouri,GAS,Environmentally Responsible,39.427,-93.5128,"39.427, -93.5128",,,,POWERPLANTS
Columbia Energy Center Gas Plant MO USA,162.8,United States of America,Missouri,GAS,Environmentally Responsible,39.0183,-92.2633,"39.0183, -92.2633",,,,POWERPLANTS
Greenwood Gas Plant MO USA,244,United States of America,Missouri,GAS,Environmentally Responsible,39.007,-94.3507,"39.007, -94.3507",,,,POWERPLANTS
Kansas City International Gas Plant MO USA,36,United States of America,Missouri,GAS,Environmentally Responsible,39.3823,-94.7801,"39.3823, -94.7801",,,,POWERPLANTS
McCartney Gas Plant MO USA,117.8,United States of America,Missouri,GAS,Environmentally Responsible,37.2564,-93.2892,"37.2564, -93.2892",,,,POWERPLANTS
Palmyra Municipal 2 Gas Plant MO USA,7,United States of America,Missouri,GAS,Environmentally Responsible,39.807,-91.6282,"39.807, -91.6282",,,,POWERPLANTS
Ralph Green Gas Plant MO USA,74,United States of America,Missouri,GAS,Environmentally Responsible,38.6418,-94.3576,"38.6418, -94.3576",,,,POWERPLANTS
Glendive GT Gas Plant MT USA,85.5,United States of America,Montana,GAS,Environmentally Responsible,47.0539,-104.74,"47.0539, -104.74",,,,POWERPLANTS
Curtis Gas Plant NE USA,3.4,United States of America,Nebraska,GAS,Environmentally Responsible,40.523,-100.3889,"40.523, -100.3889",,,,POWERPLANTS
Don Henry Gas Plant NE USA,22,United States of America,Nebraska,GAS,Environmentally Responsible,40.5208,-98.4969,"40.5208, -98.4969",,,,POWERPLANTS
Salt Valley Gas Plant NE USA,163,United States of America,Nebraska,GAS,Environmentally Responsible,40.9108,-96.6147,"40.9108, -96.6147",,,,POWERPLANTS
Sidney Gas Plant NE USA,8.3,United States of America,Nebraska,GAS,Environmentally Responsible,41.2164,-102.9916,"41.2164, -102.9916",,,,POWERPLANTS
Harry Allen Gas Plant NV USA,78,United States of America,Nevada,GAS,Environmentally Responsible,36.425,-114.9,"36.425, -114.9",,,,POWERPLANTS
Nevada Cogen Assoc#1 GarnetVly Gas Plant NV USA,96.3,United States of America,Nevada,GAS,Environmentally Responsible,36.215,-115.0115,"36.215, -115.0115",,,,POWERPLANTS
Nevada Cogen Associates 2 Black Mountain Gas Plant NV USA,96.3,United States of America,Nevada,GAS,Environmentally Responsible,36.1991,-115.0045,"36.1991, -115.0045",,,,POWERPLANTS
Tracy Gas Plant NV USA,625.8,United States of America,Nevada,GAS,Environmentally Responsible,39.5625,-119.525,"39.5625, -119.525",,,,POWERPLANTS
Newington Power Facility Gas Plant NH USA,605.5,United States of America,New Hampshire,GAS,Environmentally Responsible,43.1047,-70.8044,"43.1047, -70.8044",,,,POWERPLANTS
AES Red Oak LLC Gas Plant NJ USA,966,United States of America,New Jersey,GAS,Environmentally Responsible,40.4481,-74.3497,"40.4481, -74.3497",,,,POWERPLANTS
Bayonne Cogen Plant Gas Plant NJ USA,191.6,United States of America,New Jersey,GAS,Environmentally Responsible,40.6508,-74.1117,"40.6508, -74.1117",,,,POWERPLANTS
Bristol Myers Squibb Gas CHP Plant NJ USA,10.5,United States of America,New Jersey,GAS,Environmentally Responsible,40.4306,-74.4146,"40.4306, -74.4146",,,"Middlesex County, NJ, USA",POWERPLANTS
Glenn Gardner Gas Plant NJ USA,159.6,United States of America,New Jersey,GAS,Environmentally Responsible,40.6333,-74.8167,"40.6333, -74.8167",,,,POWERPLANTS
Hunterdon Cogen Facility Gas Plant NJ USA,4.1,United States of America,New Jersey,GAS,Environmentally Responsible,40.5612,-74.915,"40.5612, -74.915",,,,POWERPLANTS
Newark Power Plant Gas Plant NJ USA,64.6,United States of America,New Jersey,GAS,Environmentally Responsible,40.7364,-74.1286,"40.7364, -74.1286",,,,POWERPLANTS
Ocean Peaking Power LP Gas Plant NJ USA,383,United States of America,New Jersey,GAS,Environmentally Responsible,40.0606,-74.1672,"40.0606, -74.1672",,,,POWERPLANTS
Prime Energy LP Gas Plant NJ USA,83,United States of America,New Jersey,GAS,Environmentally Responsible,40.9056,-74.1308,"40.9056, -74.1308",,,,POWERPLANTS
Afton Generating Station Gas Plant NM USA,177,United States of America,New Mexico,GAS,Environmentally Responsible,32,-106.625,"32.0, -106.625",,,,POWERPLANTS
Animas Gas Plant NM USA,50.3,United States of America,New Mexico,GAS,Environmentally Responsible,36.51,-108.33,"36.51, -108.33",,,,POWERPLANTS
Chino Mines Gas CHP Plant NM USA,101.5,United States of America,New Mexico,GAS,Environmentally Responsible,32.6994,-108.1225,"32.6994, -108.1225",,,"Grant County, NM, USA",POWERPLANTS
Milagro Cogeneration Plant Gas Plant NM USA,121.6,United States of America,New Mexico,GAS,Environmentally Responsible,36.7367,-107.9417,"36.7367, -107.9417",,,,POWERPLANTS
Allegany Cogen Gas Plant NY USA,67,United States of America,New York,GAS,Environmentally Responsible,42.5083,-78.0661,"42.5083, -78.0661",,,,POWERPLANTS
Batavia Power Plant Gas CHP Plant NY USA,67.3,United States of America,New York,GAS,Environmentally Responsible,42.9825,-78.1572,"42.9825, -78.1572",,,"Genesee County, NY, USA",POWERPLANTS
Binghamton Cogen Gas Plant NY USA,47.7,United States of America,New York,GAS,Environmentally Responsible,42.1083,-75.9167,"42.1083, -75.9167",,,,POWERPLANTS
Brentwood Gas Plant NY USA,47,United States of America,New York,GAS,Environmentally Responsible,40.8514,-72.8911,"40.8514, -72.8911",,,,POWERPLANTS
Fortistar North Tonawanda Gas Plant NY USA,55.3,United States of America,New York,GAS,Environmentally Responsible,43.0483,-78.8539,"43.0483, -78.8539",,,,POWERPLANTS
Kennedy International Airport Cogen Gas Plant NY USA,121.2,United States of America,New York,GAS,Environmentally Responsible,40.6417,-73.7778,"40.6417, -73.7778",,,,POWERPLANTS
North Shore Towers Gas Plant NY USA,8.8,United States of America,New York,GAS,Environmentally Responsible,40.7148,-73.8198,"40.7148, -73.8198",,,,POWERPLANTS
Shoemaker Gas Plant NY USA,41.9,United States of America,New York,GAS,Environmentally Responsible,41.4278,-74.4186,"41.4278, -74.4186",,,,POWERPLANTS
St Marys Hospital Gas Plant NY USA,1.2,United States of America,New York,GAS,Environmentally Responsible,40.6493,-73.9461,"40.6493, -73.9461",,,,POWERPLANTS
Vernon Boulevard Gas Plant NY USA,94,United States of America,New York,GAS,Environmentally Responsible,40.7539,-73.9498,"40.7539, -73.9498",,,,POWERPLANTS
Waterside Gas Plant NY USA,199.8,United States of America,New York,GAS,Environmentally Responsible,40.7472,-73.9705,"40.7472, -73.9705",,,,POWERPLANTS
Williston Gas Plant ND USA,10,United States of America,North Dakota,GAS,Environmentally Responsible,48.35,-103.4823,"48.35, -103.4823",,,,POWERPLANTS
Bowling Green Peaking Gas Plant OH USA,32,United States of America,Ohio,GAS,Environmentally Responsible,41.3883,-83.6406,"41.3883, -83.6406",,,,POWERPLANTS
Dicks Creek Gas Plant OH USA,159.1,United States of America,Ohio,GAS,Environmentally Responsible,39.465,-84.3775,"39.465, -84.3775",,,,POWERPLANTS
Hamilton Peaking Gas Plant OH USA,32,United States of America,Ohio,GAS,Environmentally Responsible,39.3553,-84.5186,"39.3553, -84.5186",,,,POWERPLANTS
Madison Gas Plant OH USA,683.2,United States of America,Ohio,GAS,Environmentally Responsible,39.4522,-84.465,"39.4522, -84.465",,,,POWERPLANTS
Richland Gas Plant OH USA,450,United States of America,Ohio,GAS,Environmentally Responsible,41.3017,-84.3342,"41.3017, -84.3342",,,,POWERPLANTS
Robert P Mone Plant Gas Plant OH USA,594,United States of America,Ohio,GAS,Environmentally Responsible,40.9297,-84.7392,"40.9297, -84.7392",,,,POWERPLANTS
Kiamichi Energy Facility Gas Plant OK USA,1370,United States of America,Oklahoma,GAS,Environmentally Responsible,34.6834,-95.9334,"34.6834, -95.9334",Combined Cycle Gas Turbine,Base/Intermediate Load,"Kiowa, Pittsburg County, OK, USA",POWERPLANTS
Mangum Gas Plant OK USA,7.7,United States of America,Oklahoma,GAS,Environmentally Responsible,34.9355,-99.5579,"34.9355, -99.5579",,,,POWERPLANTS
Mooreland Gas Plant OK USA,305,United States of America,Oklahoma,GAS,Environmentally Responsible,36.4375,-99.2208,"36.4375, -99.2208",,,,POWERPLANTS
Oneta Energy Center Gas Plant OK USA,1214,United States of America,Oklahoma,GAS,Environmentally Responsible,36.0119,-95.6967,"36.0119, -95.6967",,,,POWERPLANTS
PowerSmith Cogeneration Project Gas Plant OK USA,111.4,United States of America,Oklahoma,GAS,Environmentally Responsible,35.5546,-97.4057,"35.5546, -97.4057",,,,POWERPLANTS
Pryor Power Plant Gas Plant OK USA,133.2,United States of America,Oklahoma,GAS,Environmentally Responsible,36.2373,-95.2799,"36.2373, -95.2799",,,,POWERPLANTS
Coyote Springs Gas CHP Plant OR USA,266.3,United States of America,Oregon,GAS,Environmentally Responsible,45.8483,-119.6814,"45.8483, -119.6814",,,"Morrow County, OR, USA",POWERPLANTS
Hermiston Generating Plant Gas Plant OR USA,621.2,United States of America,Oregon,GAS,Environmentally Responsible,45.8042,-119.37,"45.8042, -119.37",,,,POWERPLANTS
Allegheny Energy Units 3 4  and  5 Gas Plant PA USA,556,United States of America,Pennsylvania,GAS,Environmentally Responsible,40.5456,-79.7669,"40.5456, -79.7669",,,,POWERPLANTS
Brunot Island Gas Plant PA USA,417.4,United States of America,Pennsylvania,GAS,Environmentally Responsible,40.4689,-79.9812,"40.4689, -79.9812",,,,POWERPLANTS
Fairless Energy Center Gas Plant PA USA,1338,United States of America,Pennsylvania,GAS,Environmentally Responsible,40.3369,-75.1068,"40.3369, -75.1068",,,,POWERPLANTS
Grays Ferry Cogeneration Gas Plant PA USA,192.6,United States of America,Pennsylvania,GAS,Environmentally Responsible,39.9417,-75.1883,"39.9417, -75.1883",,,,POWERPLANTS
Hunterstown Gas Plant PA USA,898,United States of America,Pennsylvania,GAS,Environmentally Responsible,39.872,-77.2232,"39.872, -77.2232",,,,POWERPLANTS
Indiana University of Pennsylvania Gas Plant PA USA,24.4,United States of America,Pennsylvania,GAS,Environmentally Responsible,40.6527,-79.0942,"40.6527, -79.0942",,,,POWERPLANTS
Orchard Park Gas Plant PA USA,23.2,United States of America,Pennsylvania,GAS,Environmentally Responsible,39.9279,-77.7247,"39.9279, -77.7247",,,,POWERPLANTS
West Point Gas Plant PA USA,77.3,United States of America,Pennsylvania,GAS,Environmentally Responsible,40.2128,-75.3022,"40.2128, -75.3022",,,,POWERPLANTS
York Cogen Facility Gas Plant PA USA,68.8,United States of America,Pennsylvania,GAS,Environmentally Responsible,39.9789,-76.6875,"39.9789, -76.6875",,,,POWERPLANTS
Broad River Energy Center Gas Plant SC USA,985,United States of America,South Carolina,GAS,Environmentally Responsible,35.075,-81.5719,"35.075, -81.5719",,,,POWERPLANTS
Coit GT Gas Plant SC USA,39.2,United States of America,South Carolina,GAS,Environmentally Responsible,34.0171,-80.8983,"34.0171, -80.8983",,,,POWERPLANTS
John S Rainey Gas Plant SC USA,1102,United States of America,South Carolina,GAS,Environmentally Responsible,34.3414,-82.7767,"34.3414, -82.7767",,,,POWERPLANTS
Redfield Gas Plant SD USA,3.9,United States of America,South Dakota,GAS,Environmentally Responsible,44.9404,-98.3495,"44.9404, -98.3495",,,,POWERPLANTS
BASF Freeport Works Gas CHP Plant TX USA,92.7,United States of America,Texas,GAS,Environmentally Responsible,29.1935,-95.457,"29.1935, -95.457",,,"Brazoria County, TX, USA",POWERPLANTS
Baylor University Cogen Gas Plant TX USA,3.4,United States of America,Texas,GAS,Environmentally Responsible,31.5583,-97.2016,"31.5583, -97.2016",,,,POWERPLANTS
Cottonwood Energy Project Gas Plant TX USA,1336,United States of America,Texas,GAS,Environmentally Responsible,30.2581,-93.7363,"30.2581, -93.7363",Combined Cycle Gas Turbine,,"Newton County, TX, USA",POWERPLANTS
Dansby Gas Plant TX USA,154.1,United States of America,Texas,GAS,Environmentally Responsible,30.7222,-96.4614,"30.7222, -96.4614",,,,POWERPLANTS
Deepwater Gas Plant TX USA,187.8,United States of America,Texas,GAS,Environmentally Responsible,29.7239,-95.2258,"29.7239, -95.2258",,,,POWERPLANTS
Dow Chemical Texas Operation Gas Plant TX USA,1378.6,United States of America,Texas,GAS,Environmentally Responsible,29.1935,-95.457,"29.1935, -95.457",,,,POWERPLANTS
Fort Phantom Gas Plant TX USA,363,United States of America,Texas,GAS,Environmentally Responsible,32.5825,-99.6825,"32.5825, -99.6825",,,,POWERPLANTS
Harrison County Power Project Gas Plant TX USA,570,United States of America,Texas,GAS,Environmentally Responsible,32.5482,-94.3713,"32.5482, -94.3713",,,,POWERPLANTS
Jones Gas Plant TX USA,496,United States of America,Texas,GAS,Environmentally Responsible,33.5239,-101.7392,"33.5239, -101.7392",,,,POWERPLANTS
La Palma Gas Plant TX USA,258.3,United States of America,Texas,GAS,Environmentally Responsible,26.1444,-97.6375,"26.1444, -97.6375",,,,POWERPLANTS
Leon Creek Gas Plant TX USA,418.3,United States of America,Texas,GAS,Environmentally Responsible,29.3511,-98.5753,"29.3511, -98.5753",,,,POWERPLANTS
Lost Pines 1 Power Project Gas Plant TX USA,595,United States of America,Texas,GAS,Environmentally Responsible,30.1478,-97.2714,"30.1478, -97.2714",,,,POWERPLANTS
Magic Valley Generating Station Gas Plant TX USA,801,United States of America,Texas,GAS,Environmentally Responsible,26.3968,-98.19,"26.3968, -98.19",,,,POWERPLANTS
Morton Salt Grand Saline Gas Plant TX USA,1.5,United States of America,Texas,GAS,Environmentally Responsible,32.569,-95.8363,"32.569, -95.8363",,,,POWERPLANTS
Mustang Station Gas Plant TX USA,521,United States of America,Texas,GAS,Environmentally Responsible,32.9728,-102.7417,"32.9728, -102.7417",,,,POWERPLANTS
Newgulf Cogen Gas Plant TX USA,91.2,United States of America,Texas,GAS,Environmentally Responsible,29.2639,-95.8997,"29.2639, -95.8997",,,,POWERPLANTS
North Lake Gas Plant TX USA,708.5,United States of America,Texas,GAS,Environmentally Responsible,32.9503,-96.9756,"32.9503, -96.9756",,,,POWERPLANTS
Oyster Creek Unit VIII Gas Plant TX USA,497.9,United States of America,Texas,GAS,Environmentally Responsible,29.1935,-95.457,"29.1935, -95.457",,,,POWERPLANTS
Phelps Dodge Refining Gas Plant TX USA,19.6,United States of America,Texas,GAS,Environmentally Responsible,31.7723,-106.2404,"31.7723, -106.2404",,,,POWERPLANTS
Power Station 4 Gas Plant TX USA,191.1,United States of America,Texas,GAS,Environmentally Responsible,29.4002,-94.9654,"29.4002, -94.9654",,,,POWERPLANTS
Ray Olinger Gas Plant TX USA,427.7,United States of America,Texas,GAS,Environmentally Responsible,33.0667,-96.4519,"33.0667, -96.4519",,,,POWERPLANTS
Robstown Gas Plant TX USA,20.9,United States of America,Texas,GAS,Environmentally Responsible,27.7268,-97.6361,"27.7268, -97.6361",,,,POWERPLANTS
Sabine River Works Gas Plant TX USA,105.4,United States of America,Texas,GAS,Environmentally Responsible,30.1273,-93.8975,"30.1273, -93.8975",,,,POWERPLANTS
Tenaska Gateway Generating Station Gas Plant TX USA,939.6,United States of America,Texas,GAS,Environmentally Responsible,32.0164,-94.6189,"32.0164, -94.6189",,,,POWERPLANTS
Thomas C Ferguson Gas Plant TX USA,446,United States of America,Texas,GAS,Environmentally Responsible,30.4967,-98.3708,"30.4967, -98.3708",,,,POWERPLANTS
Union Carbide Seadrift Cogen Gas Plant TX USA,168,United States of America,Texas,GAS,Environmentally Responsible,28.515,-96.7717,"28.515, -96.7717",,,,POWERPLANTS
Valley Gas Plant TX USA,1175.4,United States of America,Texas,GAS,Environmentally Responsible,33.6275,-96.3667,"33.6275, -96.3667",,,,POWERPLANTS
W B Tuttle Gas Plant TX USA,493.9,United States of America,Texas,GAS,Environmentally Responsible,29.53,-98.4183,"29.53, -98.4183",,,,POWERPLANTS
Wichita Falls Gas Plant TX USA,80,United States of America,Texas,GAS,Environmentally Responsible,33.9832,-98.7032,"33.9832, -98.7032",,,,POWERPLANTS
Yates Gas Plant Gas Plant TX USA,5.6,United States of America,Texas,GAS,Environmentally Responsible,30.7866,-102.7302,"30.7866, -102.7302",,,,POWERPLANTS
Provo Gas Plant UT USA,17.5,United States of America,Utah,GAS,Environmentally Responsible,40.1183,-111.6686,"40.1183, -111.6686",,,,POWERPLANTS
West Valley Generation Project Gas Plant UT USA,217,United States of America,Utah,GAS,Environmentally Responsible,40.6917,-112.0003,"40.6917, -112.0003",,,,POWERPLANTS
Buchanan County Generating Facility Gas Plant VA USA,88,United States of America,Virginia,GAS,Environmentally Responsible,37.1753,-81.9617,"37.1753, -81.9617",,,,POWERPLANTS
Doswell Energy Center Gas Plant VA USA,939,United States of America,Virginia,GAS,Environmentally Responsible,37.8189,-77.4436,"37.8189, -77.4436",,,,POWERPLANTS
Elkton Gas CHP Plant VA USA,7.1,United States of America,Virginia,GAS,Environmentally Responsible,38.5115,-78.876,"38.5115, -78.876",,,"Rockingham County, VA, USA",POWERPLANTS
Gordonsville Energy LP Gas Plant VA USA,300.4,United States of America,Virginia,GAS,Environmentally Responsible,38.1253,-78.2022,"38.1253, -78.2022",,,,POWERPLANTS
Chehalis Generating Facility Gas Plant WA USA,520,United States of America,Washington,GAS,Environmentally Responsible,46.6221,-122.9146,"46.6221, -122.9146",Combined Cycle Gas Turbine,,"Lewis County, WA, USA",POWERPLANTS
Fredonia Gas Plant WA USA,357.2,United States of America,Washington,GAS,Environmentally Responsible,48.4678,-122.3083,"48.4678, -122.3083",,,,POWERPLANTS
River Road Gen Plant Gas Plant WA USA,248,United States of America,Washington,GAS,Environmentally Responsible,45.65,-122.7231,"45.65, -122.7231",,,,POWERPLANTS
Sumas Power Plant Gas Plant WA USA,125.5,United States of America,Washington,GAS,Environmentally Responsible,48.8221,-121.7152,"48.8221, -121.7152",,,,POWERPLANTS
Blackhawk Gas Plant WI USA,50,United States of America,Wisconsin,GAS,Environmentally Responsible,42.506389,-89.032222,"42.506389, -89.032222",Sub-critical Thermal,Peaking Load,"Beloit, Rock County, WI, USA",POWERPLANTS
Combined Locks Energy Center Gas Cogen Plant WI USA,53,United States of America,Wisconsin,GAS,Environmentally Responsible,44.2672,-88.2986,"44.2672, -88.2986",,,"Outagamie County, WI, USA",POWERPLANTS
De Pere Energy Center Gas CHP  Plant WI USA,187.2,United States of America,Wisconsin,GAS,Environmentally Responsible,44.4489,-88.0731,"44.4489, -88.0731",,,"Brown County, WI, USA",POWERPLANTS
Paris Gas Plant WI USA,381.2,United States of America,Wisconsin,GAS,Environmentally Responsible,42.6669,-88.0133,"42.6669, -88.0133",,,,POWERPLANTS
Stevens Point Mill Gas Plant WI USA,7.6,United States of America,Wisconsin,GAS,Environmentally Responsible,44.4741,-89.495,"44.4741, -89.495",,,,POWERPLANTS
Termocentro El Sitio CCGT Power Plant Venezuela,1080,Venezuela,Miranda,GAS,Environmentally Responsible,10.2898,-66.6813,"10.2898, -66.6813",Combined Cycle Gas Turbine,Base Load,"Between Santa Lucia and Santa Theresa, Miranda, Venezuela",POWERPLANTS
Phu My 4 CCGT Power Plant Vietnam,450,Viet Nam,Ba Ria-Vung Tau,GAS,Environmentally Responsible,10.604,107.037,"10.604, 107.037",Combined Cycle Gas Turbine,,"Phu My, Ba Ria-Vung Tau Province, Viet Nam",POWERPLANTS
Phu My 2-2 CCGT Power Plant Vietnam,715,Viet Nam,Ba Ria-Vung Tau,GAS,Environmentally Responsible,10.603,107.0374,"10.603, 107.0374",Combined Cycle Gas Turbine,,"Phu My, Ba Ria-Vung Tau Province, Viet Nam",POWERPLANTS
Nhon Trach I and II CCGT Power Plant Vietnam,1210,Viet Nam,Dong Nai,GAS,Environmentally Responsible,10.6428,106.8398,"10.6428, 106.8398",Combined Cycle Gas Turbine,,"30km southeast of Ho Chi Minh City , Dong Nai, Vietnam",POWERPLANTS
Larderello Geothermal Power Station Italy,562.5,Italy,Pisa,GEOTHERMAL,Environmentally Responsible,43.236,10.8672,"43.236, 10.8672",,,"Larderello, Pisa, Italy",POWERPLANTS
Yanaizu-Nishiyama Geothermal Power Plant Japan,65,Japan,Fukushima,GEOTHERMAL,Environmentally Responsible,37.44,139.694,"37.44, 139.694",Flash,Base Load,"Yanaizu-city, Fukushima, Japan",POWERPLANTS
Mori Geothermal Power Plant Japan,50,Japan,Hokkaido,GEOTHERMAL,Environmentally Responsible,42.1331,140.4553,"42.1331, 140.4553",Double Flash,Base Load,"Mori town, Kayabe-gun, Hokkaido, Japan",POWERPLANTS
Kakkonda Geothermal Power Plant Japan,80,Japan,Iwate,GEOTHERMAL,Environmentally Responsible,39.8291,140.86494,"39.8291, 140.86494",Flash,Base Load,"Shizukuishi town, Iwate, Japan",POWERPLANTS
Matsukawa Geothermal Power Plant Japan,23.5,Japan,Iwate,GEOTHERMAL,Environmentally Responsible,39.92705549,140.9332665,"39.9270554873, 140.933266455",,,,POWERPLANTS
Takenoyu Geothermal Power Plant Japan,0.05,Japan,Oita,GEOTHERMAL,Environmentally Responsible,32.92030413,130.8452008,"32.9203041336, 130.845200804",,,,POWERPLANTS
Olkaria I Geothermal Power Station Kenya,45,Kenya,Rift Valley,GEOTHERMAL,Environmentally Responsible,-0.872006129,36.30329132,"-0.872006129253, 36.3032913208",,,,POWERPLANTS
Kawerau (Bay of Plenty)  Geothermal Power Plant New Zealand,6.4,New Zealand,Bay of Plenty,GEOTHERMAL,Environmentally Responsible,-38.063,176.72,"-38.063, 176.72",Binary,Base Load,"Norske Skog Tasman Mill, Kawerau, Bay of Plenty, New Zealand",POWERPLANTS
Wairakei Geothermal Power Plant New Zealand,171,New Zealand,Waikato,GEOTHERMAL,Environmentally Responsible,-38.6266,176.1055,"-38.6266, 176.1055",Direct and Binary,Base Load,"North of Taupo, Waikato, New Zealand",POWERPLANTS
Momotombo Geothermal Power Plant Nicaragua,77,Nicaragua,Leon,GEOTHERMAL,Environmentally Responsible,12.394,-86.5418,"12.394, -86.5418",Double Flash,,"NW shore of Lake managua, Leon, Nicaragua",POWERPLANTS
Tiwi Geothermal Power Plant Philippines,330,Philippines,Albay,GEOTHERMAL,Environmentally Responsible,13.4655,123.6486,"13.4655, 123.6486",,,"Tiwi, Albay, Philippines",POWERPLANTS
Makiling-Banahaw (Mak-Ban) Geothermal Power Plant Philippines,442.8,Philippines,Laguna,GEOTHERMAL,Environmentally Responsible,14.0881,121.2264,"14.0881, 121.2264",,,,POWERPLANTS
Northern Negros Geothermal Power Plant Philippines,49.37,Philippines,Negros Occidental,GEOTHERMAL,Environmentally Responsible,10.823,123.2053,"10.823, 123.2053",,,,POWERPLANTS
Germencik-II (EFE-1) Geothermal Power Plant Turkey,47.4,Turkey,Aydin,GEOTHERMAL,Environmentally Responsible,37.86601511,27.6487317,"37.8660151089, 27.6487316958",Double Flash,Base Load,"Germencik, Aydin, Turkey",POWERPLANTS
Calistoga Power Plant Geothermal Plant CA USA,176.4,United States of America,California,GEOTHERMAL,Environmentally Responsible,39.0985,-122.7451,"39.0985, -122.7451",,,,POWERPLANTS
Coso Power Developers Geothermal Plant CA USA,90,United States of America,California,GEOTHERMAL,Environmentally Responsible,36,-117.79,"36.0, -117.79",,,,POWERPLANTS
J J Elmore Geothermal Plant CA USA,35.8,United States of America,California,GEOTHERMAL,Environmentally Responsible,33.0381,-115.3678,"33.0381, -115.3678",,,,POWERPLANTS
J M Leathers Geothermal Plant CA USA,35.8,United States of America,California,GEOTHERMAL,Environmentally Responsible,33.0381,-115.3678,"33.0381, -115.3678",,,,POWERPLANTS
Salton Sea Unit 3 Geothermal Plant CA USA,53.9,United States of America,California,GEOTHERMAL,Environmentally Responsible,33.0381,-115.3678,"33.0381, -115.3678",,,,POWERPLANTS
Puna Geothermal Venture I Geothermal Plant HI USA,35,United States of America,Hawaii,GEOTHERMAL,Environmentally Responsible,19.6013,-155.5212,"19.6013, -155.5212",,,,POWERPLANTS
Empire Geothermal Plant NV USA,4.8,United States of America,Nevada,GEOTHERMAL,Environmentally Responsible,40.6574,-119.6552,"40.6574, -119.6552",,,,POWERPLANTS
